"","Localidad","Substance","Lecture"
"91","Uyumbicho","Calcio",20.4
"92","Uyumbicho","Calcio",10.9
"93","Uyumbicho","Calcio",22.5
"94","Uyumbicho","Calcio",23.9
"95","Uyumbicho","Calcio",17.2
"96","Uyumbicho","Calcio",13.9
"97","Uyumbicho","Calcio",20.2
"98","Uyumbicho","Calcio",17.2
"99","Cuenca","Cloruros",5
"100","Cuenca","Cloruros",5
"101","Cuenca","Cloruros",5
"102","Guayllabamba","Cloruros",15
"103","Guayllabamba","Cloruros",16
"104","Guayllabamba","Cloruros",15
"105","Uyumbicho","Cloruros",5
"106","Uyumbicho","Cloruros",6
"107","Uyumbicho","Cloruros",5
"108","Uyumbicho","Cloruros",27
"109","Uyumbicho","Cloruros",5
"110","Uyumbicho","Cloruros",5
"111","Uyumbicho","Cloruros",6
"112","Uyumbicho","Cloruros",5
"113","Cuenca","Fosfatos",0.2
"114","Cuenca","Fosfatos",0.8
"115","Cuenca","Fosfatos",0.1
"116","Guayllabamba","Fosfatos",0.1
"117","Guayllabamba","Fosfatos",0.1
"118","Guayllabamba","Fosfatos",0.1
"119","Uyumbicho","Fosfatos",0.1
"120","Uyumbicho","Fosfatos",0.1
"121","Uyumbicho","Fosfatos",0.1
"122","Uyumbicho","Fosfatos",0.1
"123","Uyumbicho","Fosfatos",0.1
"124","Uyumbicho","Fosfatos",0.1
"125","Uyumbicho","Fosfatos",0.1
"126","Uyumbicho","Fosfatos",0.1
"127","Cuenca","Hierro total",0.09
"128","Cuenca","Hierro total",0.24
"129","Cuenca","Hierro total",0.23
"130","Guayllabamba","Hierro total",0.15
"131","Guayllabamba","Hierro total",0.12
"132","Guayllabamba","Hierro total",0.47
"133","Uyumbicho","Hierro total",0.07
"134","Uyumbicho","Hierro total",0.07
"135","Uyumbicho","Hierro total",1.84
"136","Uyumbicho","Hierro total",0.11
"137","Uyumbicho","Hierro total",0.07
"138","Uyumbicho","Hierro total",0.07
"139","Uyumbicho","Hierro total",0.07
"140","Uyumbicho","Hierro total",0.07
"141","Cuenca","Magnesio",1.6
"142","Cuenca","Magnesio",2.2
"143","Cuenca","Magnesio",2.1
"144","Guayllabamba","Magnesio",5.6
"145","Guayllabamba","Magnesio",5.2
"146","Guayllabamba","Magnesio",17.2
"147","Uyumbicho","Magnesio",15.6
"148","Uyumbicho","Magnesio",9.6
"149","Uyumbicho","Magnesio",10.4
"150","Uyumbicho","Magnesio",11.2
"151","Uyumbicho","Magnesio",10.4
"152","Uyumbicho","Magnesio",8.8
"153","Uyumbicho","Magnesio",20.8
"154","Uyumbicho","Magnesio",24.5
"155","Cuenca","Nitratos",0.4
"156","Cuenca","Nitratos",0.6
"157","Cuenca","Nitratos",0.6
"158","Guayllabamba","Nitratos",2.5
"159","Guayllabamba","Nitratos",2.1
"160","Guayllabamba","Nitratos",0.5
"161","Uyumbicho","Nitratos",2.9
"162","Uyumbicho","Nitratos",3
"163","Uyumbicho","Nitratos",0.5
"164","Uyumbicho","Nitratos",0.4
"165","Uyumbicho","Nitratos",2.8
"166","Uyumbicho","Nitratos",2.8
"167","Uyumbicho","Nitratos",3.1
"168","Uyumbicho","Nitratos",2.5
"169","Cuenca","Nitritos",0.01
