A,Description,Color
Acetobacteraceae,,white
Acidimicrobiaceae,IR,gray80
Bradyrhizobiaceae,AR,red
Caulobacteraceae,DWSS,tomato
Corynebacteriaceae,WW,blue
Dermacoccaceae,,white
Family_XI,,white
Fusobacteriaceae,FC,blue
Hyphomicrobiaceae,WW,blue
Lachnospiraceae,FC,yellow
Methylobacteriaceae,DWSS,white
Microbacteriaceae,DWSS,tomato
Micrococcaceae,,white
Mycobacteriaceae,WW,white
Nocardiaceae,DWSS,tomato
Peptostreptococcaceae,WTP,skyblue
Propionibacteriaceae,WTP,skyblue
Pseudomonadaceae,WTP,white
Rhizobiaceae,TW,white
Rhizobiales_Incertae_Sedis,,white
Rhodobacteraceae,WTP,white
Ruminococcaceae,FC,yellow
Sphingomonadaceae,AR,tomato
Sporichthyaceae,DWSS,tomato
Xanthobacteraceae,,white
