Kingdom,Phylum,Class,Order,Family,Genus
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,NA
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,LD12_freshwater_group,NA
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,NA
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Bacteria,Chloroflexi,Ktedonobacteria,C0119,NA,NA
Bacteria,Parcubacteria,Candidatus_Jorgensenbacteria,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Amphiplicatus
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodovarius
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
Bacteria,NA,NA,NA,NA,NA
Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacterales_Incertae_Sedis,Terrimicrobium
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-005
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
Bacteria,Actinobacteria,Actinobacteria,PeM15,NA,NA
Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
Bacteria,Parcubacteria,Candidatus_Giovannonibacteria,NA,NA,NA
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,NA
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_Incertae_Sedis,Reyranella
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Phreatobacter
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter
Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,NA,NA
Archaea,NA,NA,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Parcubacteria,Candidatus_Moranbacteria,NA,NA,NA
Bacteria,Parcubacteria,Candidatus_Nomurabacteria,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Halanaerobiales,ODP1230B8.23,NA
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Methyloceanibacter
Bacteria,Planctomycetes,Phycisphaerae,CCM11a,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
Bacteria,Microgenomates,Candidatus_Woesebacteria,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Parcubacteria,Candidatus_Nomurabacteria,NA,NA,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales_Incertae_Sedis,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila
Bacteria,Cyanobacteria,Chloroplast,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,NA,NA
Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae_(Subgroup_3),Candidatus_Solibacter
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
Bacteria,Parcubacteria,Candidatus_Moranbacteria,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Woodsholea
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Bacteria,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,NA
Bacteria,Parcubacteria,Candidatus_Magasanikbacteria,NA,NA,NA
Bacteria,Parcubacteria,Candidatus_Moranbacteria,NA,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
